repo,login,year,url,title,reason,comment_count,num_issues,num_stars
nodejs/node,jasnell,"""2020-06-13T17:41:50Z""","""https://github.com/nodejs/node/issues/33864""","""Rename default branch from \""master\"" to \""main\"" or something similar""","""too heated""",56,3654,11453
bubkoo/my-bot,bubkoo,"""2020-09-17T15:38:47Z""","""https://github.com/bubkoo/my-bot/issues/34""","""fix heated""","""too heated""",17,4,
YTVanced/VancedManager,X1nto,"""2021-01-27T18:29:21Z""","""https://github.com/YTVanced/VancedManager/issues/388""","""BUG""","""too heated""",9,497,2926
flybywiresim/a32nx,NathanInnes,"""2020-10-04T01:55:39Z""","""https://github.com/flybywiresim/a32nx/issues/1073""","""[REQUEST] To allow user to setup the mod to his taste or possibilities (performances limits)""","""too heated""",7,3269,1913
openzfs/zfs,behlendorf,"""2018-12-18T13:13:13Z""","""https://github.com/openzfs/zfs/issues/8213""","""enable compression by default on new pools""","""too heated""",24,1609,1649
ethereum/solidity,leonardoalt,"""2020-12-15T17:59:33Z""","""https://github.com/ethereum/solidity/issues/10616""","""I’ve Lost savings of my life sending erc20 on staking smart contract""","""too heated""",18,1886,1725
leblancfg/autocrop,leblancfg,"""2020-08-18T08:39:01Z""","""https://github.com/leblancfg/autocrop/issues/105""","""Original images were deleted!!!""","""too heated""",9,40,103
ansible/workshops,IPvSean,"""2020-05-21T14:21:31Z""","""https://github.com/ansible/workshops/issues/887""","""Make boinc_auth in community_grid role configurable""","""too heated""",15,176,366
RfidResearchGroup/proxmark3,doegox,"""2020-06-19T09:15:25Z""","""https://github.com/RfidResearchGroup/proxmark3/issues/801""","""[Bug] hf 14b sniff""","""too heated""",13,505,455
openstyles/stylus,tophf,"""2020-08-06T16:57:40Z""","""https://github.com/openstyles/stylus/issues/1012""","""After inserting a comment when without selection, auto move the cursor to the middle of /**/""","""too heated""",5,496,851
wearebraid/vue-formulate,justin-schroeder,"""2020-03-14T15:07:03Z""","""https://github.com/wearebraid/vue-formulate/issues/36""","""TypeScript support""","""too heated""",14,573,1497
chbrown/liwc-python,chbrown,"""2019-01-11T15:32:44Z""","""https://github.com/chbrown/liwc-python/issues/5""","""Where you do locate the LIWC English dictionary once you purchase the LIWC license?""","""too heated""",42,7,40
code4lives/code4lives,codersuntited,"""2020-09-01T10:45:04Z""","""https://github.com/code4lives/code4lives/issues/1""","""why.""","""too heated""",95,9,
ubuntu/yaru,clobrano,"""2020-03-11T11:33:44Z""","""https://github.com/ubuntu/yaru/issues/2060""","""Default theme: Gnome clocks \""hdysqueezer\"" buttons have wrong styling""","""too heated""",12,663,329
vueComponent/ant-design-vue,tangjinzhou,"""2020-03-20T06:50:26Z""","""https://github.com/vueComponent/ant-design-vue/issues/1913""","""Support Vue 3 & Vite from 2.0.0-beta.5""","""too heated""",79,2871,4770
sequelpro/sequelpro,Kaspik,"""2017-02-22T09:43:41Z""","""https://github.com/sequelpro/sequelpro/issues/2699""","""Need MySQL 8.0 support""","""too heated""",68,878,1046
mozilla-mobile/fenix,ekager,"""2020-06-23T04:09:39Z""","""https://github.com/mozilla-mobile/fenix/issues/11833""","""As a user, I find the tab experience to be horrible and frustrating""","""too heated""",32,18677,2013
i3/i3,stapelberg,"""2020-06-12T13:54:37Z""","""https://github.com/i3/i3/issues/4127""","""enhancement: rename master branch to stable""","""too heated""",9,535,1206
ant-design/ant-design,afc163,"""2020-03-17T11:31:56Z""","""https://github.com/ant-design/ant-design/issues/22314""","""我一直觉得这个导航菜单组件展开效果很别扭""","""too heated""",17,9859,12396
godotengine/godot-proposals,Calinou,"""2020-11-20T17:42:34Z""","""https://github.com/godotengine/godot-proposals/issues/1866""","""Separate integer and real division operators in GDScript""","""too heated""",104,2407,222
jancsi1234/testrepo,jancsi1234,"""2020-07-06T12:00:11Z""","""https://github.com/jancsi1234/testrepo/issues/1""","""Issue test""","""too heated""",5,4,
ScratchVerifier/ScratchVerifier,Semisol,"""2019-09-03T00:22:48Z""","""https://github.com/ScratchVerifier/ScratchVerifier/issues/31""","""SSL?""","""too heated""",14,37,10
mozilla-mobile/fenix,data-sync-user,"""2020-06-23T04:09:39Z""","""https://github.com/mozilla-mobile/fenix/issues/11833""","""FNX-12818 ⁃ As a user, I find the tab experience to be horrible and frustrating""","""too heated""",33,18677,2013
SolidHal/PrawnOS,SolidHal,"""2020-12-22T03:38:25Z""","""https://github.com/SolidHal/PrawnOS/issues/266""","""Hardware Support""","""too heated""",8,103,28
gsavio/player-shoutcast-html5,gsavio,"""2020-07-01T17:20:13Z""","""https://github.com/gsavio/player-shoutcast-html5/issues/16""","""Cover and streaming information doesn't work (Shoutcast)""","""too heated""",48,38,25
EssentialsX/Essentials,JRoy,"""2020-09-28T12:05:01Z""","""https://github.com/EssentialsX/Essentials/issues/3690""","""worth/sell blocks does entire inventory instead of just blocks""","""too heated""",9,1387,444
PrestaShop/PrestaShop,PululuK,"""2020-11-14T09:50:16Z""","""https://github.com/PrestaShop/PrestaShop/issues/21917""","""Imossible to change shop name without multi store""","""too heated""",10,6853,1221
sunpy/sunpy,akirahirohito,"""2020-08-26T16:32:15Z""","""https://github.com/sunpy/sunpy/issues/4439""","""Create an example showcasing how to do URL-scraping to get files for sunpy.map.Map""","""too heated""",14,636,114
corona-warn-app/cwa-app-android,tkowark,"""2020-06-16T05:37:05Z""","""https://github.com/corona-warn-app/cwa-app-android/issues/478""","""App unavailable on non-German Play Store""","""too heated""",76,1218,2328
viralemergence/tiktok,tpoisot,"""2020-09-14T17:28:56Z""","""https://github.com/viralemergence/tiktok/issues/1""","""No""","""too heated""",5,6,
elementary/camera,danrabbit,"""2018-10-18T18:18:43Z""","""https://github.com/elementary/camera/issues/87""","""Camera doesn't work""","""too heated""",20,30,17
ayushsharma82/ESP-DASH,ayushsharma82,"""2019-04-08T10:03:57Z""","""https://github.com/ayushsharma82/ESP-DASH/issues/20""","""Expansion of cards""","""too heated""",59,57,192
flybywiresim/a32nx,MisterChocker,"""2020-11-05T11:48:44Z""","""https://github.com/flybywiresim/a32nx/issues/1769""","""[BUG] FLARE mode push nose down ""","""too heated""",39,3269,1913
TeamNewPipe/NewPipe,TheAssassin,"""2020-10-23T21:12:31Z""","""https://github.com/TeamNewPipe/NewPipe/issues/4618""","""Youtube-dl disabled due to a DMCA takedown. We are next.""","""too heated""",24,4017,5603
vector-im/riot-web,t3chguy,"""2020-02-26T09:40:18Z""","""https://github.com/vector-im/riot-web/issues/12518""","""Riot Desktop system tray icon invisible""","""too heated""",45,4611,1320
cordova-rtc/cordova-plugin-iosrtc,hthetiot,"""2021-01-12T01:47:54Z""","""https://github.com/cordova-rtc/cordova-plugin-iosrtc/issues/626""","""xcode 12 now complains about unsupported architectures even for simulator""","""too heated""",15,250,96
amzn/selling-partner-api-docs,seanevan,"""2020-12-05T01:39:32Z""","""https://github.com/amzn/selling-partner-api-docs/issues/180""","""I have been dev for 20 years and I can say with guarantee this is the WORST documentation I have seen in my life.""","""too heated""",10,508,433
sequelpro/sequelpro,abhibeckert,"""2017-02-22T09:43:41Z""","""https://github.com/sequelpro/sequelpro/issues/2699""","""Need MySQL 8.0 support""","""too heated""",68,878,1046
cordova-rtc/cordova-plugin-iosrtc,hthetiot,"""2021-01-12T01:47:54Z""","""https://github.com/cordova-rtc/cordova-plugin-iosrtc/issues/626""","""xcode 12 now complains about unsupported architectures even for simulator""","""too heated""",16,250,96
provinciesincijfers/PinC-taakopvolging,Tine-VB,"""2020-10-19T13:04:19Z""","""https://github.com/provinciesincijfers/PinC-taakopvolging/issues/162""","""buurtgerichte zorg - en de keuze voor samenvattende taartkaart""","""too heated""",8,255,
div-bargali/Data-Structures-and-Algorithms,div-bargali,"""2020-10-05T15:25:29Z""","""https://github.com/div-bargali/Data-Structures-and-Algorithms/issues/1""","""Implement Data Structures and Algorithms""","""too heated""",27,648,157
docker/compose,aiordache,"""2015-08-20T13:30:07Z""","""https://github.com/docker/compose/issues/1896""","""Define services which are not started by default""","""too heated""",244,1053,3623
acemod/ACE3,jonpas,"""2019-11-06T12:55:45Z""","""https://github.com/acemod/ACE3/issues/7267""","""AT-Missile of Titan-Launcher self-explodes in the air, before it hits the target!""","""too heated""",29,431,90
mozilla-mobile/fenix,data-sync-user,"""2020-06-23T04:09:39Z""","""https://github.com/mozilla-mobile/fenix/issues/11833""","""FNX3-14940 ⁃ As a user, I find the tab experience to be horrible and frustrating""","""too heated""",33,18677,2013
ubuntu/yaru,Feichtmeier,"""2020-03-11T11:33:44Z""","""https://github.com/ubuntu/yaru/issues/2060""","""Default theme: Gnome clocks \""hdysqueezer\"" buttons have wrong styling""","""too heated""",14,663,329
cordova-rtc/cordova-plugin-iosrtc,hthetiot,"""2020-07-06T17:45:06Z""","""https://github.com/cordova-rtc/cordova-plugin-iosrtc/issues/536""","""Add support for navigator.mediaDevices.addEventListener devicechange event""","""too heated""",17,250,96
ant-design/ant-design,zombieJ,"""2020-05-21T08:23:18Z""","""https://github.com/ant-design/ant-design/issues/24352""","""[SoC2020] Add feature for components""","""too heated""",6,9859,12396
rubygems/rubygems,deivid-rodriguez,"""2020-10-22T07:29:52Z""","""https://github.com/rubygems/rubygems/issues/4027""","""Bundler and RubyGems install directory mismatch""","""too heated""",13,952,441
mozilla-mobile/fenix,data-sync-user,"""2020-06-03T01:37:18Z""","""https://github.com/mozilla-mobile/fenix/issues/11165""","""FNX3-14438 ⁃ [Bug] The \""beta\"" tag is missing in the homescreen icon in the latest beta version 77.0.0-beta.1""","""too heated""",6,18677,2013
kfix/ddcctl,kfix,"""2016-12-09T18:21:43Z""","""https://github.com/kfix/ddcctl/issues/17""","""Duplicate displays cannot be addressed""","""too heated""",27,45,441
CVunderscore/Epic,CVunderscore,"""2020-05-31T10:12:17Z""","""https://github.com/CVunderscore/Epic/issues/4""","""👀""","""too heated""",6,13,
flathub/org.tlauncher.TLauncher,barthalion,"""2020-11-03T16:36:46Z""","""https://github.com/flathub/org.tlauncher.TLauncher/issues/9""","""Removal request: cracked Minecraft launcher""","""too heated""",19,3,
strapi/strapi,derrickmehaffy,"""2019-08-29T10:44:42Z""","""https://github.com/strapi/strapi/issues/3862""","""Allow definition of null as default value""","""too heated""",8,3538,13202
cordova-rtc/cordova-plugin-iosrtc,hthetiot,"""2021-01-12T01:47:54Z""","""https://github.com/cordova-rtc/cordova-plugin-iosrtc/issues/626""","""xcode 12 now complains about unsupported architectures even for simulator""","""too heated""",16,250,96
provinciesincijfers/PinC-taakopvolging,joostschouppe,"""2020-10-19T13:04:19Z""","""https://github.com/provinciesincijfers/PinC-taakopvolging/issues/162""","""buurtgerichte zorg - en de keuze voor samenvattende taartkaart""","""too heated""",8,255,
firebase/firebase-android-sdk,samtstern,"""2020-07-24T03:02:05Z""","""https://github.com/firebase/firebase-android-sdk/issues/1818""","""export firebase remote config constants""","""too heated""",10,951,467
angular/angular,IgorMinar,"""2019-03-09T17:04:35Z""","""https://github.com/angular/angular/issues/29205""","""Make wording in the directives more inclusive""","""too heated""",6,5597,16610
mozilla-mobile/fenix,data-sync-user,"""2020-06-03T01:37:18Z""","""https://github.com/mozilla-mobile/fenix/issues/11165""","""FNX-12043 ⁃ [Bug] The \""beta\"" tag is missing in the homescreen icon in the latest beta version 77.0.0-beta.1""","""too heated""",6,18677,2013
InfiniteFlightAirportEditing/Airports,brunocr1050,"""2020-06-15T07:11:33Z""","""https://github.com/InfiniteFlightAirportEditing/Airports/issues/5089""","""VEBD-Bagdogra-Airport-WEST BENGAL-INDIA""","""too heated""",7,4207,56
home-assistant/core,dmulcahey,"""2020-07-14T13:09:59Z""","""https://github.com/home-assistant/core/issues/37845""","""ZHA & ptvo.info bmp280""","""too heated""",9,11272,9458
EssentialsX/Essentials,md678685,"""2020-09-28T12:05:01Z""","""https://github.com/EssentialsX/Essentials/issues/3690""","""worth/sell blocks does entire inventory instead of just blocks""","""too heated""",7,1387,444
balena-io/etcher,thundron,"""2020-10-15T14:48:22Z""","""https://github.com/balena-io/etcher/issues/3324""","""etcher is cancer slowedst i have used and most irritating 1 click software on the planet ""","""too heated""",6,524,3463
perone/stallion,perone,"""2017-02-01T13:46:49Z""","""https://github.com/perone/stallion/issues/58""","""new release? or deprecated?""","""too heated""",7,,7
kubernetes/website,k8s-ci-robot,"""2020-12-06T10:43:39Z""","""https://github.com/kubernetes/website/issues/25416""","""Issue with k8s.io/ko/docs/tutorials/kubernetes-basics/create-cluster/cluster-intro/""","""too heated""",4,4531,701
standardnotes/forum,TheodoreChu,"""2019-10-17T22:49:24Z""","""https://github.com/standardnotes/forum/issues/732""","""[Feature Request] Free dark theme""","""too heated""",7,656,39
InfiniteFlightAirportEditing/Airports,MajorTomMueller,"""2015-02-17T17:20:05Z""","""https://github.com/InfiniteFlightAirportEditing/Airports/issues/87""","""WSSS-Singapore Changi Airport-CHANGI-SINGAPORE""","""too heated""",23,4207,56
cordova-rtc/cordova-plugin-iosrtc,hthetiot,"""2020-09-14T18:33:04Z""","""https://github.com/cordova-rtc/cordova-plugin-iosrtc/issues/569""","""republishing Track fail using Twillio (Was Error: removeTrack() must be called with a RTCRtpSender instance as argument)""","""too heated""",41,250,96
MichiganCOG/A2CL-PT,kylemin,"""2020-10-06T23:28:00Z""","""https://github.com/MichiganCOG/A2CL-PT/issues/4""","""Sharing model weights for Activity Net""","""too heated""",9,13,38
freeCodeCamp/freeCodeCamp,moT01,"""2019-10-22T03:35:35Z""","""https://github.com/freeCodeCamp/freeCodeCamp/issues/37457""","""Can't login for the last few days""","""too heated""",4,1812,17223
post-programming/post-programming,prateekrastogi,"""2020-03-04T19:58:45Z""","""https://github.com/post-programming/post-programming/issues/1""","""What is this project?""","""too heated""",4,,3
spyder-ide/spyder,ccordoba12,"""2020-11-13T16:27:49Z""","""https://github.com/spyder-ide/spyder/issues/14218""","""High typing latency in MacOS Big Sur""","""too heated""",36,5023,1003
mezz/JustEnoughItems,mezz,"""2020-09-23T03:12:15Z""","""https://github.com/mezz/JustEnoughItems/issues/2097""","""Removal of political propaganda?""","""too heated""",23,552,115
cordova-rtc/cordova-plugin-iosrtc,hthetiot,"""2020-09-14T18:33:04Z""","""https://github.com/cordova-rtc/cordova-plugin-iosrtc/issues/569""","""republishing Track fail using Twillio (Was Error: removeTrack() must be called with a RTCRtpSender instance as argument)""","""too heated""",41,250,96
SunwellTracker/issues,Afgann,"""2020-03-22T13:29:03Z""","""https://github.com/SunwellTracker/issues/issues/2970""","""Crypt Fever/Ebon Plaguebringer Bug""","""too heated""",9,1046,8
viralemergence/tiktok,cjcarlson,"""2020-09-14T17:28:56Z""","""https://github.com/viralemergence/tiktok/issues/1""","""No""","""too heated""",4,6,
InfiniteFlightAirportEditing/Airports,kilt46,"""2015-02-17T17:20:05Z""","""https://github.com/InfiniteFlightAirportEditing/Airports/issues/87""","""WSSS-Singapore Changi Airport-CHANGI-SINGAPORE""","""too heated""",21,4207,56
relavis/VehiclesPlus,stijnb1234,"""2020-10-19T22:26:40Z""","""https://github.com/relavis/VehiclesPlus/issues/34""","""Custom Model Data Support""","""too heated""",14,93,3
