,repo,login,year,url,title,reason,comment_count,num_issues,num_stars,contributors_url
0,nodejs/node,jasnell,"""2020-06-13T17:41:50Z""","""https://github.com/nodejs/node/issues/33864""","""Rename default branch from \""master\"" to \""main\"" or something similar""","""too heated""",56,3654.0,11453.0,https://api.github.com/repos/nodejs/node/contributors
1,flybywiresim/a32nx,NathanInnes,"""2020-10-04T01:55:39Z""","""https://github.com/flybywiresim/a32nx/issues/1073""","""[REQUEST] To allow user to setup the mod to his taste or possibilities (performances limits)""","""too heated""",7,3269.0,1913.0,https://api.github.com/repos/flybywiresim/a32nx/contributors
2,openzfs/zfs,behlendorf,"""2018-12-18T13:13:13Z""","""https://github.com/openzfs/zfs/issues/8213""","""enable compression by default on new pools""","""too heated""",24,1609.0,1649.0,https://api.github.com/repos/openzfs/zfs/contributors
3,ethereum/solidity,leonardoalt,"""2020-12-15T17:59:33Z""","""https://github.com/ethereum/solidity/issues/10616""","""I’ve Lost savings of my life sending erc20 on staking smart contract""","""too heated""",18,1886.0,1725.0,https://api.github.com/repos/ethereum/solidity/contributors
4,ansible/workshops,IPvSean,"""2020-05-21T14:21:31Z""","""https://github.com/ansible/workshops/issues/887""","""Make boinc_auth in community_grid role configurable""","""too heated""",15,176.0,366.0,https://api.github.com/repos/ansible/workshops/contributors
5,RfidResearchGroup/proxmark3,doegox,"""2020-06-19T09:15:25Z""","""https://github.com/RfidResearchGroup/proxmark3/issues/801""","""[Bug] hf 14b sniff""","""too heated""",13,505.0,455.0,https://api.github.com/repos/RfidResearchGroup/proxmark3/contributors
6,vueComponent/ant-design-vue,tangjinzhou,"""2020-03-20T06:50:26Z""","""https://github.com/vueComponent/ant-design-vue/issues/1913""","""Support Vue 3 & Vite from 2.0.0-beta.5""","""too heated""",79,2871.0,4770.0,https://api.github.com/repos/vueComponent/ant-design-vue/contributors
7,mozilla-mobile/fenix,ekager,"""2020-06-23T04:09:39Z""","""https://github.com/mozilla-mobile/fenix/issues/11833""","""As a user, I find the tab experience to be horrible and frustrating""","""too heated""",32,18677.0,2013.0,https://api.github.com/repos/mozilla-mobile/fenix/contributors
8,i3/i3,stapelberg,"""2020-06-12T13:54:37Z""","""https://github.com/i3/i3/issues/4127""","""enhancement: rename master branch to stable""","""too heated""",9,535.0,1206.0,https://api.github.com/repos/i3/i3/contributors
9,ant-design/ant-design,afc163,"""2020-03-17T11:31:56Z""","""https://github.com/ant-design/ant-design/issues/22314""","""我一直觉得这个导航菜单组件展开效果很别扭""","""too heated""",17,9859.0,12396.0,https://api.github.com/repos/ant-design/ant-design/contributors
10,mozilla-mobile/fenix,data-sync-user,"""2020-06-23T04:09:39Z""","""https://github.com/mozilla-mobile/fenix/issues/11833""","""FNX-12818 ⁃ As a user, I find the tab experience to be horrible and frustrating""","""too heated""",33,18677.0,2013.0,https://api.github.com/repos/mozilla-mobile/fenix/contributors
11,EssentialsX/Essentials,JRoy,"""2020-09-28T12:05:01Z""","""https://github.com/EssentialsX/Essentials/issues/3690""","""worth/sell blocks does entire inventory instead of just blocks""","""too heated""",9,1387.0,444.0,https://api.github.com/repos/EssentialsX/Essentials/contributors
12,PrestaShop/PrestaShop,PululuK,"""2020-11-14T09:50:16Z""","""https://github.com/PrestaShop/PrestaShop/issues/21917""","""Imossible to change shop name without multi store""","""too heated""",10,6853.0,1221.0,https://api.github.com/repos/PrestaShop/PrestaShop/contributors
13,sunpy/sunpy,akirahirohito,"""2020-08-26T16:32:15Z""","""https://github.com/sunpy/sunpy/issues/4439""","""Create an example showcasing how to do URL-scraping to get files for sunpy.map.Map""","""too heated""",14,636.0,114.0,https://api.github.com/repos/sunpy/sunpy/contributors
14,elementary/camera,danrabbit,"""2018-10-18T18:18:43Z""","""https://github.com/elementary/camera/issues/87""","""Camera doesn't work""","""too heated""",20,30.0,17.0,https://api.github.com/repos/elementary/camera/contributors
15,flybywiresim/a32nx,MisterChocker,"""2020-11-05T11:48:44Z""","""https://github.com/flybywiresim/a32nx/issues/1769""","""[BUG] FLARE mode push nose down ""","""too heated""",39,3269.0,1913.0,https://api.github.com/repos/flybywiresim/a32nx/contributors
16,TeamNewPipe/NewPipe,TheAssassin,"""2020-10-23T21:12:31Z""","""https://github.com/TeamNewPipe/NewPipe/issues/4618""","""Youtube-dl disabled due to a DMCA takedown. We are next.""","""too heated""",24,4017.0,5603.0,https://api.github.com/repos/TeamNewPipe/NewPipe/contributors
17,vector-im/riot-web,t3chguy,"""2020-02-26T09:40:18Z""","""https://github.com/vector-im/riot-web/issues/12518""","""Riot Desktop system tray icon invisible""","""too heated""",45,4611.0,1320.0,https://api.github.com/repos/vector-im/riot-web/contributors
18,div-bargali/Data-Structures-and-Algorithms,div-bargali,"""2020-10-05T15:25:29Z""","""https://github.com/div-bargali/Data-Structures-and-Algorithms/issues/1""","""Implement Data Structures and Algorithms""","""too heated""",27,648.0,157.0,https://api.github.com/repos/div-bargali/Data-Structures-and-Algorithms/contributors
19,docker/compose,aiordache,"""2015-08-20T13:30:07Z""","""https://github.com/docker/compose/issues/1896""","""Define services which are not started by default""","""too heated""",244,1053.0,3623.0,https://api.github.com/repos/docker/compose/contributors
20,acemod/ACE3,jonpas,"""2019-11-06T12:55:45Z""","""https://github.com/acemod/ACE3/issues/7267""","""AT-Missile of Titan-Launcher self-explodes in the air, before it hits the target!""","""too heated""",29,431.0,90.0,https://api.github.com/repos/acemod/ACE3/contributors
21,mozilla-mobile/fenix,data-sync-user,"""2020-06-23T04:09:39Z""","""https://github.com/mozilla-mobile/fenix/issues/11833""","""FNX3-14940 ⁃ As a user, I find the tab experience to be horrible and frustrating""","""too heated""",33,18677.0,2013.0,https://api.github.com/repos/mozilla-mobile/fenix/contributors
22,ant-design/ant-design,zombieJ,"""2020-05-21T08:23:18Z""","""https://github.com/ant-design/ant-design/issues/24352""","""[SoC2020] Add feature for components""","""too heated""",6,9859.0,12396.0,https://api.github.com/repos/ant-design/ant-design/contributors
23,rubygems/rubygems,deivid-rodriguez,"""2020-10-22T07:29:52Z""","""https://github.com/rubygems/rubygems/issues/4027""","""Bundler and RubyGems install directory mismatch""","""too heated""",13,952.0,441.0,https://api.github.com/repos/rubygems/rubygems/contributors
24,mozilla-mobile/fenix,data-sync-user,"""2020-06-03T01:37:18Z""","""https://github.com/mozilla-mobile/fenix/issues/11165""","""FNX3-14438 ⁃ [Bug] The \""beta\"" tag is missing in the homescreen icon in the latest beta version 77.0.0-beta.1""","""too heated""",6,18677.0,2013.0,https://api.github.com/repos/mozilla-mobile/fenix/contributors
25,strapi/strapi,derrickmehaffy,"""2019-08-29T10:44:42Z""","""https://github.com/strapi/strapi/issues/3862""","""Allow definition of null as default value""","""too heated""",8,3538.0,13202.0,https://api.github.com/repos/strapi/strapi/contributors
26,firebase/firebase-android-sdk,samtstern,"""2020-07-24T03:02:05Z""","""https://github.com/firebase/firebase-android-sdk/issues/1818""","""export firebase remote config constants""","""too heated""",10,951.0,467.0,https://api.github.com/repos/firebase/firebase-android-sdk/contributors
27,angular/angular,IgorMinar,"""2019-03-09T17:04:35Z""","""https://github.com/angular/angular/issues/29205""","""Make wording in the directives more inclusive""","""too heated""",6,5597.0,16610.0,https://api.github.com/repos/angular/angular/contributors
28,mozilla-mobile/fenix,data-sync-user,"""2020-06-03T01:37:18Z""","""https://github.com/mozilla-mobile/fenix/issues/11165""","""FNX-12043 ⁃ [Bug] The \""beta\"" tag is missing in the homescreen icon in the latest beta version 77.0.0-beta.1""","""too heated""",6,18677.0,2013.0,https://api.github.com/repos/mozilla-mobile/fenix/contributors
29,home-assistant/core,dmulcahey,"""2020-07-14T13:09:59Z""","""https://github.com/home-assistant/core/issues/37845""","""ZHA & ptvo.info bmp280""","""too heated""",9,11272.0,9458.0,https://api.github.com/repos/home-assistant/core/contributors
30,EssentialsX/Essentials,md678685,"""2020-09-28T12:05:01Z""","""https://github.com/EssentialsX/Essentials/issues/3690""","""worth/sell blocks does entire inventory instead of just blocks""","""too heated""",7,1387.0,444.0,https://api.github.com/repos/EssentialsX/Essentials/contributors
31,kubernetes/website,k8s-ci-robot,"""2020-12-06T10:43:39Z""","""https://github.com/kubernetes/website/issues/25416""","""Issue with k8s.io/ko/docs/tutorials/kubernetes-basics/create-cluster/cluster-intro/""","""too heated""",4,4531.0,701.0,https://api.github.com/repos/kubernetes/website/contributors
32,freeCodeCamp/freeCodeCamp,moT01,"""2019-10-22T03:35:35Z""","""https://github.com/freeCodeCamp/freeCodeCamp/issues/37457""","""Can't login for the last few days""","""too heated""",4,1812.0,17223.0,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/contributors
33,spyder-ide/spyder,ccordoba12,"""2020-11-13T16:27:49Z""","""https://github.com/spyder-ide/spyder/issues/14218""","""High typing latency in MacOS Big Sur""","""too heated""",36,5023.0,1003.0,https://api.github.com/repos/spyder-ide/spyder/contributors
34,mezz/JustEnoughItems,mezz,"""2020-09-23T03:12:15Z""","""https://github.com/mezz/JustEnoughItems/issues/2097""","""Removal of political propaganda?""","""too heated""",23,552.0,115.0,https://api.github.com/repos/mezz/JustEnoughItems/contributors
35,strapi/strapi,lauriejim,"""2019-12-24T13:40:02Z""","""https://github.com/strapi/strapi/issues/4819""","""Custom GraphQL mutation doesn't work""","""too heated""",12,3538.0,13202.0,https://api.github.com/repos/strapi/strapi/contributors
