,repo,login,year,url,title,reason,comment_count,num_issues,num_stars,contributors_url,api_url,issue_id
0,neovim/neovim,clason,"""2022-07-13T10:59:23Z""","""https://github.com/neovim/neovim/issues/19350""","""Tracking issue: treesitter highlighting""","""too heated""",4,2967,12645,https://api.github.com/repos/neovim/neovim/contributors,https://api.github.com/repos/neovim/neovim/issues/19350,1303268876
1,SevenTV/chatterino7,TroyKomodo,"""2021-07-26T14:18:27Z""","""https://github.com/SevenTV/chatterino7/issues/34""","""Will you please allow \""notify when online\"" notifications without login, or provide a 2.1.0 installer""","""too heated""",4,71,135,https://api.github.com/repos/SevenTV/chatterino7/contributors,https://api.github.com/repos/SevenTV/chatterino7/issues/34,952956841
2,WordPress/gutenberg,talldan,"""2021-08-26T09:56:38Z""","""https://github.com/WordPress/gutenberg/issues/34325""","""Consider moving wp-env project to own repository""","""too heated""",30,6143,1140,https://api.github.com/repos/WordPress/gutenberg/contributors,https://api.github.com/repos/WordPress/gutenberg/issues/34325,980057113
3,flutter/flutter,Hixie,"""2021-01-27T19:48:17Z""","""https://github.com/flutter/flutter/issues/74833""","""My app is slow or missing frames (metabug)""","""too heated""",4,25524,18727,https://api.github.com/repos/flutter/flutter/contributors,https://api.github.com/repos/flutter/flutter/issues/74833,795394794
4,freeCodeCamp/freeCodeCamp,raisedadead,"""2022-10-07T09:47:10Z""","""https://github.com/freeCodeCamp/freeCodeCamp/issues/47891""","""Update front end demo project URL's""","""too heated""",8,1690,25499,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/contributors,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/issues/47891,1400909737
5,freeCodeCamp/freeCodeCamp,ojeytonwilliams,"""2022-10-12T18:34:57Z""","""https://github.com/freeCodeCamp/freeCodeCamp/issues/48011""","""Line goes against our challenge document in building a registration form project""","""too heated""",7,1690,25499,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/contributors,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/issues/48011,1406636959
6,doitsujin/dxvk,doitsujin,"""2021-12-23T20:20:27Z""","""https://github.com/doitsujin/dxvk/issues/2413""","""Unable to release video memory""","""too heated""",22,856,2252,https://api.github.com/repos/doitsujin/dxvk/contributors,https://api.github.com/repos/doitsujin/dxvk/issues/2413,1087972186
7,AvaloniaUI/Avalonia,maxkatz6,"""2019-10-07T17:51:00Z""","""https://github.com/AvaloniaUI/Avalonia/issues/3079""","""PointerPressed captures pointers 1 pixel outside of the control""","""too heated""",4,1573,4028,https://api.github.com/repos/AvaloniaUI/Avalonia/contributors,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/3079,503598709
8,Warzone2100/warzone2100,KJeff01,"""2022-10-21T23:10:25Z""","""https://github.com/Warzone2100/warzone2100/issues/2916""","""Balance proposal became a circuis""","""too heated""",8,291,435,https://api.github.com/repos/Warzone2100/warzone2100/contributors,https://api.github.com/repos/Warzone2100/warzone2100/issues/2916,1418948680
9,saltstack/salt,Ch3LL,"""2019-09-17T08:58:08Z""","""https://github.com/saltstack/salt/issues/54508""","""mount.mounted does not handle blanks properly""","""too heated""",14,1586,974,https://api.github.com/repos/saltstack/salt/contributors,https://api.github.com/repos/saltstack/salt/issues/54508,494492439
